,date,datetime,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,moonphase
80,2005-03-22,18:00:00,45.8,44.2,44.2,25.2,0.0,0.0,0.0,0.0,,,3.9,82.0,1011.2,18.8,50.0,,,,,Partially cloudy,partly-cloudy-day,0.4
81,2005-03-23,18:00:00,40.5,33.2,87.9,37.2,0.01,100.0,0.0,0.0,['rain'],,12.7,276.0,1003.1,5.7,95.9,,,,,"Rain, Overcast",rain,0.43
82,2005-03-24,18:00:00,30.5,23.0,93.6,28.9,0.019,100.0,0.0,0.0,"['rain', 'snow']",,8.0,34.0,1013.3,7.0,100.0,,,,,"Snow, Overcast",snow,0.47
83,2005-03-25,18:00:00,31.8,31.8,88.7,28.9,0.0,0.0,0.0,0.0,,,1.7,270.0,1012.9,7.7,100.0,,,,,Overcast,cloudy,0.5
84,2005-03-26,18:00:00,38.8,38.8,66.1,28.4,0.0,0.0,0.0,0.0,,,1.7,140.0,1019.1,8.1,65.5,,,,,Partially cloudy,partly-cloudy-day,0.53
85,2005-03-27,18:00:00,57.5,57.5,26.9,23.6,0.0,0.0,0.0,0.0,,,6.4,295.0,1009.8,8.1,50.0,,,,,Partially cloudy,partly-cloudy-day,0.57
86,2005-03-28,18:00:00,62.7,62.7,13.8,12.4,0.0,0.0,0.0,0.0,,,8.3,319.0,997.3,27.6,90.0,,,,,Partially cloudy,partly-cloudy-day,0.6
87,2005-03-29,18:00:00,41.6,36.0,58.8,28.3,0.0,0.0,0.0,0.0,,,9.3,275.0,1001.4,12.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.64
88,2005-03-30,18:00:00,40.2,32.7,63.2,28.7,0.0,0.0,0.0,0.0,,30.0,13.2,346.0,1008.7,7.6,100.0,,,,,Overcast,cloudy,0.68
89,2005-03-31,18:00:00,39.5,35.4,37.6,15.7,0.0,0.0,0.0,0.0,,,5.6,71.0,1026.8,8.1,95.9,,,,,Overcast,cloudy,0.71
